"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,616,384,347,653,0.616,0.347,0.653,0.384,0.653
1,2,0.001,607,393,342,658,0.607,0.342,0.658,0.393,0.658
1,2,0.01,589,411,310,690,0.589,0.31,0.69,0.411,0.69
1,2,0.05,533,467,241,759,0.533,0.241,0.759,0.467,0.759
1,2,0.1,463,537,164,836,0.463,0.164,0.836,0.537,0.836
1,2,0.5,81,919,5,995,0.081,0.005,0.995,0.919,0.995
