"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,2,1e-04,646,354,432,568,0.646,0.432,0.568,0.354,0.568
0.5,2,0.001,640,360,425,575,0.64,0.425,0.575,0.36,0.575
0.5,2,0.01,628,372,395,605,0.628,0.395,0.605,0.372,0.605
0.5,2,0.05,559,441,297,703,0.559,0.297,0.703,0.441,0.703
0.5,2,0.1,485,515,200,800,0.485,0.2,0.8,0.515,0.8
0.5,2,0.5,60,940,3,997,0.06,0.003,0.997,0.94,0.997
