"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,2,1e-04,"Induced","Detected",616
1,2,1e-04,"Induced","Not Detected",384
1,2,1e-04,"Not Induced","Detected",347
1,2,1e-04,"Not Induced","Not Detected",653
1,2,0.001,"Induced","Detected",607
1,2,0.001,"Induced","Not Detected",393
1,2,0.001,"Not Induced","Detected",342
1,2,0.001,"Not Induced","Not Detected",658
1,2,0.01,"Induced","Detected",589
1,2,0.01,"Induced","Not Detected",411
1,2,0.01,"Not Induced","Detected",310
1,2,0.01,"Not Induced","Not Detected",690
1,2,0.05,"Induced","Detected",533
1,2,0.05,"Induced","Not Detected",467
1,2,0.05,"Not Induced","Detected",241
1,2,0.05,"Not Induced","Not Detected",759
1,2,0.1,"Induced","Detected",463
1,2,0.1,"Induced","Not Detected",537
1,2,0.1,"Not Induced","Detected",164
1,2,0.1,"Not Induced","Not Detected",836
1,2,0.5,"Induced","Detected",81
1,2,0.5,"Induced","Not Detected",919
1,2,0.5,"Not Induced","Detected",5
1,2,0.5,"Not Induced","Not Detected",995
