"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,1000,0,999,1,1,0.999,0.001,0,0.001
0.5,0.001,1000,0,987,13,1,0.987,0.013,0,0.013
0.5,0.01,999,1,893,107,0.999,0.893,0.107,0.001,0.107
0.5,0.05,984,16,551,449,0.984,0.551,0.449,0.016,0.449
0.5,0.1,966,34,262,738,0.966,0.262,0.738,0.034,0.738
0.5,0.5,628,372,0,1000,0.628,0,1,0.372,1
