"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,2,1e-04,"Induced","Detected",962
1,2,1e-04,"Induced","Not Detected",38
1,2,1e-04,"Not Induced","Detected",671
1,2,1e-04,"Not Induced","Not Detected",329
1,2,0.001,"Induced","Detected",961
1,2,0.001,"Induced","Not Detected",39
1,2,0.001,"Not Induced","Detected",658
1,2,0.001,"Not Induced","Not Detected",342
1,2,0.01,"Induced","Detected",945
1,2,0.01,"Induced","Not Detected",55
1,2,0.01,"Not Induced","Detected",570
1,2,0.01,"Not Induced","Not Detected",430
1,2,0.05,"Induced","Detected",901
1,2,0.05,"Induced","Not Detected",99
1,2,0.05,"Not Induced","Detected",267
1,2,0.05,"Not Induced","Not Detected",733
1,2,0.1,"Induced","Detected",842
1,2,0.1,"Induced","Not Detected",158
1,2,0.1,"Not Induced","Detected",91
1,2,0.1,"Not Induced","Not Detected",909
1,2,0.5,"Induced","Detected",150
1,2,0.5,"Induced","Not Detected",850
1,2,0.5,"Not Induced","Detected",0
1,2,0.5,"Not Induced","Not Detected",1000
