"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,2,1e-04,967,33,733,267,0.967,0.733,0.267,0.033,0.267
0.5,2,0.001,965,35,719,281,0.965,0.719,0.281,0.035,0.281
0.5,2,0.01,958,42,606,394,0.958,0.606,0.394,0.042,0.394
0.5,2,0.05,917,83,287,713,0.917,0.287,0.713,0.083,0.713
0.5,2,0.1,831,169,84,916,0.831,0.084,0.916,0.169,0.916
0.5,2,0.5,127,873,0,1000,0.127,0,1,0.873,1
