"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,962,38,671,329,0.962,0.671,0.329,0.038,0.329
1,2,0.001,961,39,658,342,0.961,0.658,0.342,0.039,0.342
1,2,0.01,945,55,570,430,0.945,0.57,0.43,0.055,0.43
1,2,0.05,901,99,267,733,0.901,0.267,0.733,0.099,0.733
1,2,0.1,842,158,91,909,0.842,0.091,0.909,0.158,0.909
1,2,0.5,150,850,0,1000,0.15,0,1,0.85,1
