"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,985,15,876,124,0.985,0.876,0.124,0.015,0.124
0.5,0.001,980,20,828,172,0.98,0.828,0.172,0.02,0.172
0.5,0.01,969,31,730,270,0.969,0.73,0.27,0.031,0.27
0.5,0.05,946,54,538,462,0.946,0.538,0.462,0.054,0.462
0.5,0.1,908,92,343,657,0.908,0.343,0.657,0.092,0.657
0.5,0.5,539,461,4,996,0.539,0.004,0.996,0.461,0.996
