"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-04,978,22,832,168,0.978,0.832,0.168,0.022,0.168
1,0.001,972,28,773,227,0.972,0.773,0.227,0.028,0.227
1,0.01,958,42,659,341,0.958,0.659,0.341,0.042,0.341
1,0.05,931,69,472,528,0.931,0.472,0.528,0.069,0.528
1,0.1,895,105,299,701,0.895,0.299,0.701,0.105,0.701
1,0.5,566,434,9,991,0.566,0.009,0.991,0.434,0.991
