"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR"
1,1e-05,997,3,945,55,0.997,0.945,0.055,0.003
1,1e-04,997,3,867,133,0.997,0.867,0.133,0.003
1,0.001,995,5,796,204,0.995,0.796,0.204,0.005
