"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-05,1000,0,960,40,1,0.96,0.04,0,0.04
0.5,1e-04,998,2,909,91,0.998,0.909,0.091,0.002,0.091
0.5,0.001,997,3,859,141,0.997,0.859,0.141,0.003,0.141
0.5,0.01,995,5,792,208,0.995,0.792,0.208,0.005,0.208
0.5,0.1,982,18,389,611,0.982,0.389,0.611,0.018,0.611
