"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-05,997,3,945,55,0.997,0.945,0.055,0.003,0.055
1,1e-04,997,3,867,133,0.997,0.867,0.133,0.003,0.133
1,0.001,995,5,796,204,0.995,0.796,0.204,0.005,0.204
1,0.01,992,8,706,294,0.992,0.706,0.294,0.008,0.294
1,0.1,982,18,332,668,0.982,0.332,0.668,0.018,0.668
