"Alpha","Threshold","TrueStatus","Predicted","Count"
0.5,0.001,"Induced","Detected",997
0.5,0.001,"Induced","Not Detected",3
0.5,0.001,"Not Induced","Detected",859
0.5,0.001,"Not Induced","Not Detected",141
