"Alpha","Threshold","TrueStatus","Predicted","Count"
1,1e-05,"Induced","Detected",997
1,1e-05,"Induced","Not Detected",3
1,1e-05,"Not Induced","Detected",945
1,1e-05,"Not Induced","Not Detected",55
1,1e-04,"Induced","Detected",997
1,1e-04,"Induced","Not Detected",3
1,1e-04,"Not Induced","Detected",867
1,1e-04,"Not Induced","Not Detected",133
1,0.001,"Induced","Detected",995
1,0.001,"Induced","Not Detected",5
1,0.001,"Not Induced","Detected",796
1,0.001,"Not Induced","Not Detected",204
1,0.01,"Induced","Detected",992
1,0.01,"Induced","Not Detected",8
1,0.01,"Not Induced","Detected",706
1,0.01,"Not Induced","Not Detected",294
1,0.1,"Induced","Detected",982
1,0.1,"Induced","Not Detected",18
1,0.1,"Not Induced","Detected",332
1,0.1,"Not Induced","Not Detected",668
