"Alpha","Threshold","TrueStatus","Predicted","Count"
0.5,1e-05,"Induced","Detected",996
0.5,1e-05,"Induced","Not Detected",4
0.5,1e-05,"Not Induced","Detected",988
0.5,1e-05,"Not Induced","Not Detected",12
0.5,1e-04,"Induced","Detected",986
0.5,1e-04,"Induced","Not Detected",14
0.5,1e-04,"Not Induced","Detected",945
0.5,1e-04,"Not Induced","Not Detected",55
0.5,0.001,"Induced","Detected",977
0.5,0.001,"Induced","Not Detected",23
0.5,0.001,"Not Induced","Detected",885
0.5,0.001,"Not Induced","Not Detected",115
0.5,0.01,"Induced","Detected",965
0.5,0.01,"Induced","Not Detected",35
0.5,0.01,"Not Induced","Detected",790
0.5,0.01,"Not Induced","Not Detected",210
0.5,0.1,"Induced","Detected",904
0.5,0.1,"Induced","Not Detected",96
0.5,0.1,"Not Induced","Detected",572
0.5,0.1,"Not Induced","Not Detected",428
