"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-05,999,1,984,16,0.999,0.984,0.016,0.001,0.016
1,1e-04,992,8,950,50,0.992,0.95,0.05,0.008,0.05
1,0.001,978,22,889,111,0.978,0.889,0.111,0.022,0.111
1,0.01,953,47,822,178,0.953,0.822,0.178,0.047,0.178
1,0.1,914,86,619,381,0.914,0.619,0.381,0.086,0.381
