"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR"
1,1e-05,999,1,984,16,0.999,0.984,0.016,0.001
1,1e-04,992,8,950,50,0.992,0.95,0.05,0.008
1,0.001,978,22,889,111,0.978,0.889,0.111,0.022
