"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-05,996,4,988,12,0.996,0.988,0.012,0.004,0.012
0.5,1e-04,986,14,945,55,0.986,0.945,0.055,0.014,0.055
0.5,0.001,977,23,885,115,0.977,0.885,0.115,0.023,0.115
0.5,0.01,965,35,790,210,0.965,0.79,0.21,0.035,0.21
0.5,0.1,904,96,572,428,0.904,0.572,0.428,0.096,0.428
