"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,1e-05,999,1,953,47,0.999,0.953,0.047,0.001,0.047
1,1e-04,999,1,898,102,0.999,0.898,0.102,0.001,0.102
1,0.001,999,1,848,152,0.999,0.848,0.152,0.001,0.152
1,0.01,999,1,729,271,0.999,0.729,0.271,0.001,0.271
1,0.1,993,7,242,758,0.993,0.242,0.758,0.007,0.758
