"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-05,1000,0,970,30,1,0.97,0.03,0,0.03
0.5,1e-04,999,1,927,73,0.999,0.927,0.073,0.001,0.073
0.5,0.001,999,1,883,117,0.999,0.883,0.117,0.001,0.117
0.5,0.01,999,1,792,208,0.999,0.792,0.208,0.001,0.208
0.5,0.1,996,4,265,735,0.996,0.265,0.735,0.004,0.735
