"Alpha","Threshold","TrueStatus","Predicted","Count"
1,1e-05,"Induced","Detected",1000
1,1e-05,"Induced","Not Detected",0
1,1e-05,"Not Induced","Detected",967
1,1e-05,"Not Induced","Not Detected",33
1,1e-04,"Induced","Detected",999
1,1e-04,"Induced","Not Detected",1
1,1e-04,"Not Induced","Detected",894
1,1e-04,"Not Induced","Not Detected",106
1,0.001,"Induced","Detected",999
1,0.001,"Induced","Not Detected",1
1,0.001,"Not Induced","Detected",836
1,0.001,"Not Induced","Not Detected",164
1,0.01,"Induced","Detected",999
1,0.01,"Induced","Not Detected",1
1,0.01,"Not Induced","Detected",722
1,0.01,"Not Induced","Not Detected",278
1,0.1,"Induced","Detected",998
1,0.1,"Induced","Not Detected",2
1,0.1,"Not Induced","Detected",167
1,0.1,"Not Induced","Not Detected",833
