"Alpha","Threshold","TrueStatus","Predicted","Count"
0.5,1e-05,"Induced","Detected",1000
0.5,1e-05,"Induced","Not Detected",0
0.5,1e-05,"Not Induced","Detected",978
0.5,1e-05,"Not Induced","Not Detected",22
0.5,1e-04,"Induced","Detected",1000
0.5,1e-04,"Induced","Not Detected",0
0.5,1e-04,"Not Induced","Detected",948
0.5,1e-04,"Not Induced","Not Detected",52
0.5,0.001,"Induced","Detected",1000
0.5,0.001,"Induced","Not Detected",0
0.5,0.001,"Not Induced","Detected",906
0.5,0.001,"Not Induced","Not Detected",94
0.5,0.01,"Induced","Detected",1000
0.5,0.01,"Induced","Not Detected",0
0.5,0.01,"Not Induced","Detected",803
0.5,0.01,"Not Induced","Not Detected",197
0.5,0.1,"Induced","Detected",1000
0.5,0.1,"Induced","Not Detected",0
0.5,0.1,"Not Induced","Detected",215
0.5,0.1,"Not Induced","Not Detected",785
