"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,2,1e-04,"Induced","Detected",1000
1,2,1e-04,"Induced","Not Detected",0
1,2,1e-04,"Not Induced","Detected",999
1,2,1e-04,"Not Induced","Not Detected",1
1,2,0.001,"Induced","Detected",1000
1,2,0.001,"Induced","Not Detected",0
1,2,0.001,"Not Induced","Detected",988
1,2,0.001,"Not Induced","Not Detected",12
1,2,0.01,"Induced","Detected",994
1,2,0.01,"Induced","Not Detected",6
1,2,0.01,"Not Induced","Detected",874
1,2,0.01,"Not Induced","Not Detected",126
1,2,0.05,"Induced","Detected",957
1,2,0.05,"Induced","Not Detected",43
1,2,0.05,"Not Induced","Detected",485
1,2,0.05,"Not Induced","Not Detected",515
1,2,0.1,"Induced","Detected",881
1,2,0.1,"Induced","Not Detected",119
1,2,0.1,"Not Induced","Detected",189
1,2,0.1,"Not Induced","Not Detected",811
1,2,0.5,"Induced","Detected",184
1,2,0.5,"Induced","Not Detected",816
1,2,0.5,"Not Induced","Detected",0
1,2,0.5,"Not Induced","Not Detected",1000
