"Alpha","NoiseScale","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
1,2,1e-04,1000,0,999,1,1,0.999,0.001,0,0.001
1,2,0.001,1000,0,988,12,1,0.988,0.012,0,0.012
1,2,0.01,994,6,874,126,0.994,0.874,0.126,0.006,0.126
1,2,0.05,957,43,485,515,0.957,0.485,0.515,0.043,0.515
1,2,0.1,881,119,189,811,0.881,0.189,0.811,0.119,0.811
1,2,0.5,184,816,0,1000,0.184,0,1,0.816,1
