"Alpha","Threshold","TP","FN","FP","TN","TPR","FPR","TNR","FNR","OneMinusFPR"
0.5,1e-04,829,171,567,433,0.829,0.567,0.433,0.171,0.433
0.5,0.001,824,176,556,444,0.824,0.556,0.444,0.176,0.444
0.5,0.01,808,192,502,498,0.808,0.502,0.498,0.192,0.498
0.5,0.05,738,262,304,696,0.738,0.304,0.696,0.262,0.696
0.5,0.1,646,354,152,848,0.646,0.152,0.848,0.354,0.848
0.5,0.5,16,984,0,1000,0.016,0,1,0.984,1
